Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.84     0.00        5     0.00     0.00  freeGrid
  0.00      5.84     0.00        5     0.00     0.00  my_realloc
  0.00      5.84     0.00        4     0.00     0.00  free_chunk_memory
  0.00      5.84     0.00        4     0.00     0.00  free_matrix3
  0.00      5.84     0.00        4     0.00     0.00  get_class_range_for_block
  0.00      5.84     0.00        3     0.00     0.00  ProcessOption
  0.00      5.84     0.00        3     0.00     0.00  Process_Fc
  0.00      5.84     0.00        3     0.00     0.00  ReadBaseToken
  0.00      5.84     0.00        3     0.00     0.00  alloc_and_load_pin_to_track_map
  0.00      5.84     0.00        3     0.00     0.00  alloc_and_load_track_to_pin_lookup
  0.00      5.84     0.00        3     0.00     0.00  free_ivec_vector
  0.00      5.84     0.00        3     0.00     0.00  free_matrix4
  0.00      5.84     0.00        3     0.00     0.01  generic_compute_matrix
  0.00      5.84     0.00        2     0.00     0.00  ProcessCB_SB
  0.00      5.84     0.00        2     0.00     0.00  ProcessChanWidthDistrDir
  0.00      5.84     0.00        2     0.00     0.00  ProcessSubblocks
  0.00      5.84     0.00        2     0.00     0.00  ProcessTypeProps
  0.00      5.84     0.00        2     0.00     0.00  SetupClassInf
  0.00      5.84     0.00        2     0.00     0.00  SetupGridLocations
  0.00      5.84     0.00        2     0.00     0.00  SetupPinClasses
  0.00      5.84     0.00        2     0.00     0.00  SetupPinLocations
  0.00      5.84     0.00        2     0.00     0.00  SetupSubblocksTSeq
  0.00      5.84     0.00        2     0.00     0.00  SetupSubblocksTcomb
  0.00      5.84     0.00        2     0.00     0.00  SetupTypeTiming
  0.00      5.84     0.00        2     0.00     0.00  alloc_and_load_actual_fc
  0.00      5.84     0.00        2     0.00     0.00  alloc_hash_table
  0.00      5.84     0.00        2     0.00     0.00  alloc_matrix4
  0.00      5.84     0.00        2     0.00     0.00  check_all_tracks_reach_pins
  0.00      5.84     0.00        2     0.00     0.02  comp_bb_cost
  0.00      5.84     0.00        2     0.00     0.00  free_hash_table
  0.00      5.84     0.00        2     0.00     0.01  free_rr_graph
  0.00      5.84     0.00        2     0.00     0.00  init_chan
  0.00      5.84     0.00        2     0.00     0.00  load_chan_rr_indices
  0.00      5.84     0.00        2     0.00     0.00  load_rr_indexed_data_T_values
  0.00      5.84     0.00        2     0.00     0.00  load_uniform_switch_pattern
  0.00      5.84     0.00        2     0.00     0.00  my_fopen
  0.00      5.84     0.00        1     0.00     0.00  CheckArch
  0.00      5.84     0.00        1     0.00     0.00  CheckOptions
  0.00      5.84     0.00        1     0.00     0.00  CheckSegments
  0.00      5.84     0.00        1     0.00     0.00  CheckSetup
  0.00      5.84     0.00        1     0.00     0.00  CheckSwitches
  0.00      5.84     0.00        1     0.00     0.00  InitArch
  0.00      5.84     0.00        1     0.00     0.00  IsTimingEnabled
  0.00      5.84     0.00        1     0.00     0.00  PrintTitle
  0.00      5.84     0.00        1     0.00     0.00  ProcessChanWidthDistr
  0.00      5.84     0.00        1     0.00     0.00  ProcessDevice
  0.00      5.84     0.00        1     0.00     0.00  ProcessIO
  0.00      5.84     0.00        1     0.00     0.00  ProcessLayout
  0.00      5.84     0.00        1     0.00     0.00  ProcessSegments
  0.00      5.84     0.00        1     0.00     0.00  ProcessSwitches
  0.00      5.84     0.00        1     0.00     0.00  ProcessTypes
  0.00      5.84     0.00        1     0.00     0.00  ReadInt
  0.00      5.84     0.00        1     0.00     0.00  ReadOptions
  0.00      5.84     0.00        1     0.00     0.00  SetupAnnealSched
  0.00      5.84     0.00        1     0.00     0.00  SetupEmptyType
  0.00      5.84     0.00        1     0.00     0.00  SetupOperation
  0.00      5.84     0.00        1     0.00     0.00  SetupPlacerOpts
  0.00      5.84     0.00        1     0.00     0.00  SetupRouterOpts
  0.00      5.84     0.00        1     0.00     0.00  SetupRoutingArch
  0.00      5.84     0.00        1     0.00     0.00  SetupSwitches
  0.00      5.84     0.00        1     0.00     0.00  SetupTiming
  0.00      5.84     0.00        1     0.00     0.02  SetupVPR
